				 No of intervals: 5
x		Analytical		Euler		Midpoint		RK2		RK4
1.000000	6.000000		6.000000	6.000000		6.000000	6.000000
2.000000	28.000000		19.000000	19.000000		24.000000	27.569445
3.000000	72.000000		42.000000	52.000000		59.833336	70.896019
4.000000	144.000000		79.000000	106.333336		119.458336	141.972931
5.000000	250.000000		134.500000	190.333344		208.860413	246.795349
				 No of intervals: 10
x		Analytical		Euler		Midpoint		RK2		RK4
1.000000	6.000000		6.000000	6.000000		6.000000	6.000000
1.500000	14.625000		12.500000	12.500000		13.979166	14.599584
2.000000	28.000000		21.958332	24.916666		26.307291	27.943508
2.500000	46.875000		34.937500	41.416664		43.738800	46.780491
3.000000	72.000000		52.037498	64.299995		67.025612	71.859993
3.500000	104.125000		73.883331	93.283325		96.918686	103.931770
4.000000	144.000000		101.117859	129.854752		134.168549	143.745697
4.500000	192.375000		134.397324	174.210693		179.525528	192.051697
5.000000	250.000000		174.388397	227.531723		233.739822	249.599731
5.500000	317.625000		221.766083	290.223389		297.561554	317.139771
				 No of intervals: 20
x		Analytical		Euler		Midpoint		RK2		RK4
1.000000	6.000000		6.000000	6.000000		6.000000	6.000000
1.250000	9.765625		9.250000	9.250000		9.670313	9.764458
1.500000	14.625000		13.340625	14.181250		14.402449	14.622614
1.750000	20.671875		18.350000	19.829166		20.290600	20.668161
2.000000	28.000000		24.358482	27.043453		27.428761	27.994822
2.250000	36.703125		31.448103	35.350891		35.910828	36.696327
2.500000	46.875000		39.702194	45.286209		45.830647	46.866425
2.750000	58.609375		49.205132	56.590374		57.282028	58.598854
3.000000	72.000000		60.042145	69.645775		70.358765	71.987366
3.250000	87.140625		72.299171	84.305634		85.154633	87.125702
3.500000	104.125000		86.062744	100.867218		101.763405	104.107613
3.750000	123.046875		101.419922	119.249840		120.278854	123.026848
4.000000	144.000000		118.458206	139.698425		140.794739	143.977158
4.250000	167.078125		137.265488	162.174438		163.404816	167.052292
4.500000	192.375000		157.929993	186.888367		188.202850	192.345993
4.750000	219.984375		180.540268	213.830185		215.282593	219.952011
5.000000	250.000000		205.185135	243.186493		244.737793	249.964111
5.250000	282.515625		231.953644	274.967468		276.662201	282.476013
5.500000	317.625000		260.935089	309.342499		311.149597	317.581512
5.750000	355.421875		292.218964	346.336548		348.293701	355.374329
