				 No of intervals: 5
x		Analytical y(x)		RK4 y(x)		Analytical z(x)		RK4 z(x)
1.000000	2.718282		2.718282		2.000000		2.000000
1.800000	19.600855		17.912214		1.111111		1.013050
2.600000	91.014854		73.801773		0.769231		0.607806
3.400000	346.384918		239.019424		0.588235		0.364127
4.200000	1176.346436		657.867676		0.476191		0.183659
				 No of intervals: 10
x		Analytical y(x)		RK4 y(x)		Analytical z(x)		RK4 z(x)
1.000000	2.718282		2.718282		2.000000		2.000000
1.400000	7.948192		7.888554		1.428571		1.418443
1.800000	19.600855		19.303074		1.111111		1.094925
2.200000	43.681068		42.634949		0.909091		0.887881
2.600000	91.014893		87.917877		0.769231		0.743355
3.000000	180.769913		172.544250		0.666667		0.636269
3.400000	346.385193		326.161316		0.588235		0.553371
3.800000	645.485535		598.590271		0.526316		0.487000
4.200000	1176.347412		1072.522583		0.476190		0.432413
4.600000	2105.089355		1883.712769		0.434783		0.386517
				 No of intervals: 20
x		Analytical y(x)		RK4 y(x)		Analytical z(x)		RK4 z(x)
1.000000	2.718282		2.718282		2.000000		2.000000
1.200000	4.780969		4.778913		1.666667		1.665999
1.400000	7.948194		7.941642		1.428571		1.427467
1.600000	12.679767		12.664267		1.250000		1.248556
1.800000	19.600866		19.568686		1.111111		1.109375
2.000000	29.556238		29.494431		1.000000		0.997997
2.200000	43.681087		43.568584		0.909091		0.906835
2.400000	63.493534		63.296844		0.833333		0.830834
2.600000	91.014931		90.681862		0.769231		0.766494
2.800000	128.926132		128.376678		0.714286		0.711315
3.000000	180.769974		179.883255		0.666667		0.663465
3.200001	251.213333		249.808899		0.625000		0.621569
3.400001	346.385315		344.196869		0.588235		0.584576
3.600001	474.313599		470.951813		0.555555		0.551670
3.800001	645.485779		640.386658		0.526316		0.522205
4.000000	873.571045		865.923950		0.500000		0.495664
4.200000	1176.347412		1164.995117		0.476190		0.471629
4.400000	1576.889038		1560.190430		0.454545		0.449760
4.600000	2105.087891		2080.729492		0.434783		0.429773
4.800000	2799.598877		2764.337402		0.416667		0.411433
