				 No of intervals: 5
x		Analytical		Euler		Midpoint		RK2		RK4
1.000000	6.000000		6.000000	6.000000		0.000000	0.000000
2.000000		28.000000		19.000000		19.000000		3.000000		3.902778
3.000000		72.000000		42.000000		52.000000		14.333333		17.724907
4.000000		144.000000		79.000000		106.333336		39.833332		47.476662
5.000000		250.000000		134.500000		190.333344		85.441666		99.159523
				 No of intervals: 10
x		Analytical		Euler			Midpoint		RK2			RK4
1.000000		6.000000		6.000000		6.000000		0.000000		0.000000
1.500000		14.625000		12.500000		12.500000		0.979167		1.119583
2.000000		28.000000		21.958332		24.916666		3.557292		3.986706
2.500000		46.875000		34.937500		41.416664		8.476302		9.351684
3.000000		72.000000		52.037498		64.299995		16.482700		17.964575
3.500000		104.125000		73.883331		93.283325		28.324738		30.575382
4.000000		144.000000		101.117859		129.854752		44.751442		47.934101
4.500000		192.375000		134.397324		174.210693		66.512238		70.790718
5.000000		250.000000		174.388397		227.531723		94.356766		99.895233
5.500000		317.625000		221.766083		290.223389		129.034775		135.997635
				 No of intervals: 20
x		Analytical		Euler			Midpoint		RK2			RK4
1.000000		6.000000		6.000000		6.000000		0.000000		0.000000
1.250000		9.765625		9.250000		9.250000		0.370313		0.390384
1.500000		14.625000		13.340625		14.181250		1.072448		1.124465
1.750000		20.671875		18.350000		19.829166		2.199885		2.295998
2.000000		28.000000		24.358482		27.043453		3.846223		3.998735
2.250000		36.703125		31.448103		35.350891		6.105122		6.326427
2.500000		46.875000		39.702194		45.286209		9.070275		9.372822
2.750000		58.609375		49.205132		56.590374		12.835396		13.231671
3.000000		72.000000		60.042145		69.645775		17.494205		17.996723
3.250000		87.140625		72.299171		84.305634		23.140438		23.761728
3.500000		104.125000		86.062744		100.867218		29.867828		30.620438
3.750000		123.046875		101.419922		119.249840		37.770119		38.666599
4.000000		144.000000		118.458206		139.698425		46.941048		47.993965
4.250000		167.078125		137.265488		162.174438		57.474365		58.696281
4.500000		192.375000		157.929993		186.888367		69.463806		70.867302
4.750000		219.984375		180.540268		213.830185		83.003128		84.600769
5.000000		250.000000		205.185135		243.186493		98.186073		99.990440
5.250000		282.515625		231.953644		274.967468		115.106384		117.130066
5.500000		317.625000		260.935089		309.342499		133.857819		136.113388
5.750000		355.421875		292.218964		346.336548		154.534119		157.034164
