				 No of intervals: 2
x		Analytical y(x)		RK4 y(x)		Analytical z(x)		RK4 z(x)
1.000000	2.718282		2.718282		2.000000		2.000000
3.000000	180.769836		40.572357		0.666667		-0.580601
				 No of intervals: 5
x		Analytical y(x)		RK4 y(x)		Analytical z(x)		RK4 z(x)
1.000000	2.718282		2.718282		2.000000		2.000000
1.800000	19.600855		17.912214		1.111111		1.013050
2.600000	91.014854		73.801773		0.769231		0.607806
3.400000	346.384918		239.019424		0.588235		0.364127
4.200000	1176.346436		657.867676		0.476191		0.183659
				 No of intervals: 10
x		Analytical y(x)		RK4 y(x)		Analytical z(x)		RK4 z(x)
1.000000	2.718282		2.718282		2.000000		2.000000
1.400000	7.948192		7.888554		1.428571		1.418443
1.800000	19.600855		19.303074		1.111111		1.094925
2.200000	43.681068		42.634949		0.909091		0.887881
2.600000	91.014893		87.917877		0.769231		0.743355
3.000000	180.769913		172.544250		0.666667		0.636269
3.400000	346.385193		326.161316		0.588235		0.553371
3.800000	645.485535		598.590271		0.526316		0.487000
4.200000	1176.347412		1072.522583		0.476190		0.432413
4.600000	2105.089355		1883.712769		0.434783		0.386517
				 No of intervals: 15
x		Analytical y(x)		RK4 y(x)		Analytical z(x)		RK4 z(x)
1.000000	2.718282		2.718282		2.000000		2.000000
1.266667	5.694178		5.685823		1.578947		1.576780
1.533333	10.894099		10.862989		1.304348		1.300834
1.800000	19.600855		19.516117		1.111111		1.106536
2.066667	33.735161		33.535080		0.967742		0.962226
2.333333	56.144512		55.711876		0.857143		0.850746
2.600000	91.014854		90.135521		0.769231		0.761985
2.866667	144.454758		142.749496		0.697674		0.689599
3.133333	225.321411		222.135498		0.638298		0.629403
3.400000	346.384918		340.611664		0.588235		0.578529
3.666667	525.963806		515.766113		0.545455		0.534942
3.933333	790.216980		772.592224		0.508475		0.497158
4.200000	1176.346436		1146.453369		0.476191		0.464072
4.466667	1737.063843		1687.188110		0.447761		0.434841
4.733334	2546.800293		2464.781738		0.422535		0.408814
				 No of intervals: 20
x		Analytical y(x)		RK4 y(x)		Analytical z(x)		RK4 z(x)
1.000000	2.718282		2.718282		2.000000		2.000000
1.200000	4.780969		4.778913		1.666667		1.665999
1.400000	7.948194		7.941642		1.428571		1.427467
1.600000	12.679767		12.664267		1.250000		1.248556
1.800000	19.600866		19.568686		1.111111		1.109375
2.000000	29.556238		29.494431		1.000000		0.997997
2.200000	43.681087		43.568584		0.909091		0.906835
2.400000	63.493534		63.296844		0.833333		0.830834
2.600000	91.014931		90.681862		0.769231		0.766494
2.800000	128.926132		128.376678		0.714286		0.711315
3.000000	180.769974		179.883255		0.666667		0.663465
3.200001	251.213333		249.808899		0.625000		0.621569
3.400001	346.385315		344.196869		0.588235		0.584576
3.600001	474.313599		470.951813		0.555555		0.551670
3.800001	645.485779		640.386658		0.526316		0.522205
4.000000	873.571045		865.923950		0.500000		0.495664
4.200000	1176.347412		1164.995117		0.476190		0.471629
4.400000	1576.889038		1560.190430		0.454545		0.449760
4.600000	2105.087891		2080.729492		0.434783		0.429773
4.800000	2799.598877		2764.337402		0.416667		0.411433
				 No of intervals: 25
x		Analytical y(x)		RK4 y(x)		Analytical z(x)		RK4 z(x)
1.000000	2.718282		2.718282		2.000000		2.000000
1.160000	4.292374		4.291685		1.724138		1.723880
1.320000	6.522536		6.520539		1.515152		1.514717
1.480000	9.622306		9.617984		1.351351		1.350780
1.640000	13.865339		13.857080		1.219512		1.218824
1.800000	19.600851		19.586168		1.111111		1.110318
1.960000	27.272764		27.247911		1.020408		1.019518
2.120000	37.443455		37.402878		0.943396		0.942413
2.280000	50.823093		50.758701		0.877193		0.876120
2.440000	68.305901		68.206070		0.819672		0.818511
2.600000	91.014893		90.863106		0.769231		0.767984
2.760000	120.356934		120.129967		0.724638		0.723306
2.920000	158.090515		157.756012		0.684931		0.683516
3.080000	206.409042		205.922272		0.649351		0.647851
3.240000	268.043030		267.342621		0.617284		0.615701
3.400001	346.385315		345.387726		0.588235		0.586570
3.560001	445.644775		444.236755		0.561798		0.560050
3.720001	571.033875		569.062988		0.537634		0.535805
3.880001	728.998413		726.260498		0.515464		0.513553
4.040001	927.498108		923.720764		0.495049		0.493057
4.200001	1176.348267		1171.170288		0.476190		0.474116
4.360001	1487.638184		1480.581787		0.458716		0.456560
4.520000	1876.239258		1866.675049		0.442478		0.440241
4.680000	2360.424316		2347.526367		0.427350		0.425032
4.840000	2962.621094		2945.308838		0.413223		0.410824
