				No of intervals : 5				
x		Analytical y(x)		RK4 y(x)		Analytical z(x)		RK4 z(x)
0.000000	10.000000		10.000000		19.000000		19.000000
1.000000	35.000000		23.784721		32.000000		24.277779
2.000000	76.000000		46.208138		51.000000		14.002765
3.000000	139.000000		91.836044		76.000000		-0.689119
4.000000	230.000000		195.703491		107.000000		-4.297084
				No of intervals : 10				
x		Analytical y(x)		RK4 y(x)		Analytical z(x)		RK4 z(x)
0.000000	10.000000		10.000000		19.000000		19.000000
0.500000	20.875000		16.148220		24.750000		23.290691
1.000000	35.000000		24.999290		32.000000		25.642309
1.500000	53.125000		38.006615		40.750000		26.382689
2.000000	76.000000		57.626675		51.000000		26.913183
2.500000	104.375000		87.778000		62.750000		29.409082
3.000000	139.000000		134.475189		76.000000		36.236816
3.500000	180.625000		206.823425		90.750000		49.483818
4.000000	230.000000		318.643646		107.000000		70.925789
4.500000	287.875000		491.067566		124.750000		102.422607
				No of intervals : 20				
x		Analytical y(x)		RK4 y(x)		Analytical z(x)		RK4 z(x)
0.000000	10.000000		10.000000		19.000000		19.000000
0.250000	15.078125		12.802402		21.687500		21.368532
0.500000	20.875000		16.272036		24.750000		23.425751
0.750000	27.484375		20.578281		28.187500		25.187618
1.000000	35.000000		25.940512		32.000000		26.731289
1.250000	43.515625		32.641129		36.187500		28.198486
1.500000	53.125000		41.041328		40.750000		29.793978
1.750000	63.921875		51.600338		45.687500		31.779947
2.000000	76.000000		64.899231		51.000000		34.467857
2.250000	89.453125		81.670731		56.687500		38.209953
2.500000	104.375000		102.836761		62.750000		43.392746
2.750000	120.859375		129.556061		69.187500		50.434624
3.000000	139.000000		163.284500		76.000000		59.789207
3.250000	158.890625		205.851563		83.187500		71.955399
3.500000	180.625000		259.556976		90.750000		87.494377
3.750000	204.296875		327.292816		98.687500		107.053215
4.000000	230.000000		412.697235		107.000000		131.394745
4.250000	257.828125		520.348022		115.687500		161.433060
4.500000	287.875000		656.006104		124.750000		198.274902
4.750000	320.234375		826.921631		134.187500		243.267120
