Iteration No		x1			x2			x3			Error
1		0.49987			0.01965			-0.51559			4.155875E-001
2		0.50001			0.00188			-0.51762			1.776721E-002
3		0.50000			0.00038			-0.51675			1.504569E-003
4		0.50000			0.00037			-0.51668			7.637997E-005
5		0.50000			0.00037			-0.51668			3.672861E-007
6		0.50000			0.00037			-0.51668			9.843057E-010
7		0.50000			0.00037			-0.51668			2.660897E-012
8		0.50000			0.00037			-0.51668			7.203190E-015
9		0.50000			0.00037			-0.51668			1.771898E-016
10		0.50000			0.00037			-0.51668			8.859492E-017
11		0.50000			0.00037			-0.51668			1.367416E-017
12		0.50000			0.00037			-0.51668			0.000000E+000
13		0.50000			0.00037			-0.51668			0.000000E+000
14		0.50000			0.00037			-0.51668			0.000000E+000
15		0.50000			0.00037			-0.51668			0.000000E+000
16		0.50000			0.00037			-0.51668			0.000000E+000
17		0.50000			0.00037			-0.51668			0.000000E+000
18		0.50000			0.00037			-0.51668			0.000000E+000
19		0.50000			0.00037			-0.51668			0.000000E+000
20		0.50000			0.00037			-0.51668			0.000000E+000
21		0.50000			0.00037			-0.51668			0.000000E+000
22		0.50000			0.00037			-0.51668			0.000000E+000
23		0.50000			0.00037			-0.51668			0.000000E+000
24		0.50000			0.00037			-0.51668			0.000000E+000
25		0.50000			0.00037			-0.51668			0.000000E+000
26		0.50000			0.00037			-0.51668			0.000000E+000
27		0.50000			0.00037			-0.51668			0.000000E+000
28		0.50000			0.00037			-0.51668			0.000000E+000
29		0.50000			0.00037			-0.51668			0.000000E+000
30		0.50000			0.00037			-0.51668			0.000000E+000
31		0.50000			0.00037			-0.51668			0.000000E+000
32		0.50000			0.00037			-0.51668			0.000000E+000
33		0.50000			0.00037			-0.51668			0.000000E+000
34		0.50000			0.00037			-0.51668			0.000000E+000
35		0.50000			0.00037			-0.51668			0.000000E+000
36		0.50000			0.00037			-0.51668			0.000000E+000
37		0.50000			0.00037			-0.51668			0.000000E+000
38		0.50000			0.00037			-0.51668			0.000000E+000
39		0.50000			0.00037			-0.51668			0.000000E+000
40		0.50000			0.00037			-0.51668			0.000000E+000
41		0.50000			0.00037			-0.51668			0.000000E+000
42		0.50000			0.00037			-0.51668			0.000000E+000
43		0.50000			0.00037			-0.51668			0.000000E+000
44		0.50000			0.00037			-0.51668			0.000000E+000
45		0.50000			0.00037			-0.51668			0.000000E+000
46		0.50000			0.00037			-0.51668			0.000000E+000
47		0.50000			0.00037			-0.51668			0.000000E+000
48		0.50000			0.00037			-0.51668			0.000000E+000
49		0.50000			0.00037			-0.51668			0.000000E+000
50		0.50000			0.00037			-0.51668			0.000000E+000
51		0.50000			0.00037			-0.51668			0.000000E+000
52		0.50000			0.00037			-0.51668			0.000000E+000
53		0.50000			0.00037			-0.51668			0.000000E+000
54		0.50000			0.00037			-0.51668			0.000000E+000
55		0.50000			0.00037			-0.51668			0.000000E+000
56		0.50000			0.00037			-0.51668			0.000000E+000
57		0.50000			0.00037			-0.51668			0.000000E+000
